Date,Open,High,Low,Close,Volume,SMA_7,SMA_21,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Mid,BB_Width,Volume_SMA_10,Daily_Return,Direction
2019-02-20,164.7872151228341,165.43719550430995,163.75491822077873,164.6438446044922,32593000,163.58421325683594,160.41172717866442,162.6070113862064,159.70947845725183,69.20800018585751,2.8975329289545755,2.9025993043404856,-0.005066375385910149,167.23413749268397,154.15158180663244,160.6928596496582,0.08141342256634215,29120640.0,-0.01740181618251624,0
2019-02-21,164.2041479405232,164.6533950037559,163.1718510558571,164.04165649414062,25207400,164.02390616280692,160.85232616606214,162.82772601819627,160.03038053405842,66.21388420665392,2.79734548413785,2.8815485402999585,-0.08420305616210877,167.2860451267899,155.00485910904993,161.14545211791992,0.07621180651597341,28844380.0,-0.3657519731746661,1
2019-02-22,164.39536278717873,165.3703116713346,164.3093258744594,165.255615234375,27735400,164.29701014927454,161.34117417108445,163.2012474360699,160.41743495630408,69.11470259438983,2.783812479765828,2.8620013281931325,-0.07818884842730434,167.5177925237134,155.6993308893725,161.60856170654296,0.07313017026784428,27414300.0,0.7400307739990009,1
2019-02-25,166.51726044043835,166.94738647304288,165.7430160797584,165.85772705078125,32608800,164.6397465297154,161.81090291341147,163.60993660756395,160.82041955589497,70.46901278534358,2.7895170516689802,2.8475044728883026,-0.05798742121932232,167.93105530969137,156.0861062503672,162.0085807800293,0.07311309686372047,27773110.0,0.3643518046586802,1
2019-02-26,165.4563038004681,166.55551658380918,165.17910137284582,166.02980041503906,21939700,164.97838483537947,162.20006742931548,163.98222334717553,161.2062996195353,70.86224012189223,2.7759237276402473,2.8331883238386917,-0.05726459619844437,167.97733011241598,157.05206747059185,162.51469879150392,0.06722630459316517,27823670.0,0.10374757167939119,0
2019-02-27,165.26511861580562,166.12538538880867,164.1754590379979,165.92465209960938,25162000,165.2036852155413,162.6770775204613,164.28105853985767,161.5558072106519,70.24668784668111,2.7252513292057756,2.8116009249121086,-0.08634959570633294,167.3071019476728,158.87121531306937,163.0891586303711,0.05172561257565082,27367660.0,-0.06333098947709503,0
2019-02-28,165.4085257906455,166.13496074451905,165.07397512563955,165.54234313964844,25085500,165.32794843401228,163.20597694033668,164.47510232444085,161.85110616835533,67.93597120280029,2.623996156085525,2.774079971146792,-0.1500838150612669,167.19159754145218,159.70455419194624,163.4480758666992,0.04580686135217663,27266800.0,-0.23041118671831562,1
2019-03-01,166.73715661099115,166.93787535464108,165.53278580909918,166.68936157226562,31431200,165.6201651436942,163.60242280505952,164.81575759333697,162.20949545753388,71.01641665264924,2.6062621358030924,2.740516404078052,-0.13425426827495945,167.52573602000396,159.96590979298432,163.74582290649414,0.04616805542170456,27377240.0,0.692885222513473,1
2019-03-04,167.78851025105024,168.02747076812392,164.8540826855817,166.7179718017578,38063500,166.00249590192522,163.8873538062686,165.10840593309402,162.54345666821712,71.09102094491378,2.5649492648769012,2.705402976237822,-0.14045371136092077,167.6688258404645,160.4890400652972,164.07893295288085,0.04375812083827461,27931420.0,0.01716380051031141,1
2019-03-05,166.84226989746094,167.35841830200192,166.02024496801016,166.84226989746094,22319900,166.22916085379464,164.21052042643228,165.37515423530434,162.86188727779071,71.43503270177133,2.513266957513622,2.6669757724929823,-0.1537088149793604,167.97344169204894,160.66425972396667,164.3188507080078,0.04448170089182635,28214640.0,0.07455590681664237,0
2019-03-06,167.00473063891002,167.03340473472602,165.6283156997718,165.8959503173828,27194600,166.23462132045202,164.3939506894066,165.45527670947024,163.08663268813086,65.08495320929075,2.368644021339378,2.607309422262262,-0.2386654009228839,168.13482722697697,160.74469700398006,164.43976211547852,0.04494126072626614,27674800.0,-0.5671941413046722,0
2019-03-07,165.475376057541,165.53272424868504,163.24826226316074,163.86000061035156,39407400,165.92464991978235,164.41215442475817,165.20984961729815,163.14391920088795,53.969435549819956,2.065930416410197,2.4990336210918493,-0.43310320468165253,168.12919932170064,160.83730000691264,164.48324966430664,0.04433216956541175,29094800.0,-1.2272449708001787,0
2019-03-08,162.02477942147348,163.69750299634296,161.8622880243995,163.61148071289062,39303200,165.59419686453683,164.44173685709634,164.96394670892775,163.17855338696222,52.78439436932402,1.785393321965529,2.3563055612665855,-0.5709122393010566,167.8879091882376,161.35960362914523,164.6237564086914,0.039655914197980806,30251580.0,-0.15166599324742958,1
2019-03-11,164.29020109453106,167.12905427080943,164.26152698850788,167.01434326171875,30518400,165.80448259626115,164.73759387788317,165.27939233243404,163.4626859702775,64.33280961088938,1.8167063621565376,2.248385721444576,-0.43167935928803836,167.91698695575386,161.9202795847735,164.91863327026368,0.03636161209966567,30042540.0,2.07984337896161,1
